,Name,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special
0,Invisible Friends #1,Blue,Skull,Swinging,Black Nerd Glasses,Big Hat,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Green Sweatpants,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #2,Blue,Swinging,Dog,White Glasses,,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Pink Skirt,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #3,Blue,Stick Bag,Swinging,Sunglasses,,Long Sleeves,Blue Zipper Hoodie with Hood Down,Green Tracksuit Pants,Blue Shoes,Bing Bong Stick,,,,,,,,,,
0,Invisible Friends #4,Blue,Swinging,Swinging,Sunglasses,Light Blue Beanie,Long Sleeves,Pink Hoodie with Hood Down,Dark Blue Pants,Summer Day Sneakers,Cigar,,,,,,,,,,
0,Invisible Friends #5,Blue,Swinging,Swinging,White Nerd Glasses,,Long Sleeves,Blue Zipper Hoodie with Hood Down,Tan Skirt,Pink Slippers,,,,,,,,,,,
0,Invisible Friends #6,Blue,Swinging,Swinging,Boomer Glasses,Cowboy Hat,Long Sleeves,Orange Puffer Jacket,Blue Sweatpants,White Shoes,Toothpick,,,,,,,,,,
0,Invisible Friends #7,Blue,Swinging,Boombox,Swirly Glasses,Rain Hat,Short Sleeves,Grey Tucked Shirt,Lavender Pants,Dark Blue Slippers,,Grey Backpack with Slingshot,Bandage,,,,,,,,
0,Invisible Friends #8,Yellow,Swinging,Book,Sunglasses,Blue 5 Panel Cap,Long Sleeves,Grey Zipper Hoodie with Hood Down,Tan Pants,Maroon Shoes,,,,,,,,,,,
0,Invisible Friends #9,Blue,Swinging,Boombox,Sunglasses,,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,Green Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #10,Blue,Swinging,Swinging,White Glasses,,Long Sleeves,Pink Zipper Hoodie with Hood Up,Dark Blue Skirt,White Shoes,,,,,,,,,,,
0,Invisible Friends #11,Pink,Swinging,Swinging,Eye Patch,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Tan Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #12,Blue,Swinging,Swinging,Swirly Glasses,Blue Beanie,Long Sleeves,Light Blue Loose Shirt with Pens,Light Blue Shorts,Ice Grey Sneakers,,,,,,,,,,,
